City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Nome,64.5011,-165.4064,256.19,71,100,2.57,US,1675904812
137,Preobrazheniye,42.9019,133.9064,266.2,54,2,3.15,RU,1675904950
138,Evensk,61.95,159.2333,248.53,76,18,5.29,RU,1675904950
139,Beibei,29.8256,106.4339,285.02,89,100,0.34,CN,1675904951
140,Tuktoyaktuk,69.4541,-133.0374,239.14,100,28,1.81,CA,1675904952
141,Codrington,-38.2667,141.9667,295.72,52,5,3.13,AU,1675904953
142,Aborlan,9.4352,118.5492,300.04,78,87,5.19,PH,1675904953
143,Santa Fe,-31.6333,-60.7,300.37,68,100,0.89,AR,1675904954
144,Chara,56.9064,118.2631,248.6,81,42,0.33,RU,1675904955
145,Conselheiro Lafaiete,-20.6603,-43.7861,291.26,99,100,1.81,BR,1675904956
146,Brasileia,-11.0161,-68.7481,296.56,94,100,1.11,BR,1675904701
147,Kaitangata,-46.2817,169.8464,287.77,47,59,6.0,NZ,1675904956
148,Rio Grande,-32.035,-52.0986,297.58,83,99,7.78,BR,1675904957
149,Darasun,51.6667,114.0,251.8,99,100,0.17,RU,1675904958
150,Darnah,32.767,22.6367,284.37,88,100,11.43,LY,1675904958
151,Grenaa,56.4158,10.8783,275.27,77,81,10.53,DK,1675904959
152,Souillac,-20.5167,57.5167,297.82,86,40,5.12,MU,1675904960
153,Huarmey,-10.0681,-78.1522,296.15,83,9,3.14,PE,1675904960
154,Lubango,-14.9172,13.4925,288.42,71,100,1.67,AO,1675904961
155,Yinchuan,38.4681,106.2731,268.7,84,5,2.68,CN,1675904961
156,Bredasdorp,-34.5322,20.0403,291.88,80,0,5.32,ZA,1675904962
157,Sakakah,29.9697,40.2064,278.77,71,97,2.7,SA,1675904963
158,Rocha,-34.4833,-54.3333,294.75,79,3,4.48,UY,1675904964
159,Pevek,69.7008,170.3133,238.71,100,100,3.33,RU,1675904965
160,Carnarvon,-24.8667,113.6333,300.38,65,90,7.29,AU,1675904966
161,Oistins,13.0667,-59.5333,299.2,73,40,7.72,BB,1675904966
162,Alofi,-19.0595,-169.9187,303.09,70,75,3.6,NU,1675904967
163,Severo-Kurilsk,50.6789,156.125,268.24,64,87,10.42,RU,1675904968
164,Tomohon,1.3346,124.8392,296.67,70,82,0.9,ID,1675904968
165,Kirakira,-10.4544,161.9205,301.76,77,100,4.08,SB,1675904969
166,New Norfolk,-42.7826,147.0587,294.1,50,93,1.79,AU,1675904970
167,Vestmannaeyjar,63.4427,-20.2734,271.92,61,100,15.02,IS,1675904970
168,Faanui,-16.4833,-151.75,300.38,73,16,3.87,PF,1675904971
169,Kandiari,26.9156,68.5216,291.07,25,3,1.58,PK,1675904971
170,Ribeira Grande,38.5167,-28.7,286.36,75,42,4.47,PT,1675904972
171,Nanortalik,60.1432,-45.2371,271.04,87,100,2.64,GL,1675904973
172,San Carlos De Bariloche,-41.1456,-71.3082,289.74,51,0,3.72,AR,1675904973
173,Puerto Ayora,-0.7393,-90.3518,299.57,90,83,3.58,EC,1675904974
174,Yanji,42.9075,129.5078,265.97,61,14,1.12,CN,1675904975
175,Xining,36.6167,101.7667,266.57,72,3,0.69,CN,1675904976
176,Bambous Virieux,-20.3428,57.7575,299.38,83,36,5.42,MU,1675904977
177,Dikson,73.5069,80.5464,256.43,87,100,6.29,RU,1675904978
178,Hiriyur,13.9456,76.6192,293.25,60,66,2.14,IN,1675904781
179,Mazagao,-0.115,-51.2894,300.18,95,100,1.54,BR,1675904978
180,Constitucion,-35.3333,-72.4167,288.6,82,32,5.3,CL,1675904979
181,Cidreira,-30.1811,-50.2056,297.83,82,62,8.21,BR,1675904740
182,Fairbanks,64.8378,-147.7164,260.15,82,100,0.0,US,1675904980
183,Qianjiang,30.4151,112.8859,279.26,90,100,4.86,CN,1675904980
184,Vila,42.0304,-8.1588,277.64,73,0,2.0,PT,1675904981
185,Natal,-5.795,-35.2094,300.27,74,20,6.17,BR,1675904465
186,Port Macquarie,-31.4333,152.9167,299.2,56,100,5.2,AU,1675904982
187,Milkovo,54.7167,158.6167,257.38,88,100,1.53,RU,1675904982
188,Port Blair,11.6667,92.75,297.68,70,100,3.17,IN,1675904815
189,Itarema,-2.9248,-39.9167,299.12,79,100,4.22,BR,1675904983
190,Kankakee,41.15,-87.8667,276.99,83,100,2.06,US,1675904984
191,Hofn,64.2539,-15.2082,269.39,48,0,6.5,IS,1675904984
192,Pudozh,61.8099,36.5345,271.79,97,100,4.59,RU,1675904985
193,Bahir Dar,11.5936,37.3908,290.57,53,1,2.15,ET,1675904986
194,Ucluelet,48.9329,-125.5528,279.0,91,100,5.03,CA,1675904987
195,Gerash,27.6652,54.1371,282.14,51,58,3.28,IR,1675904988
196,Aulla,44.2146,9.9678,276.73,48,2,3.83,IT,1675904989
197,Tessaoua,13.7574,7.9874,291.93,19,19,4.44,NE,1675904915
198,Marakkanam,12.2,79.95,294.71,81,100,2.01,IN,1675904990
199,Lebu,-37.6167,-73.65,288.48,93,2,4.44,CL,1675904990
200,Xiuyan,40.2928,123.2744,271.41,31,100,0.64,CN,1675904991
201,Moyale,3.5167,39.0584,293.95,42,8,3.89,KE,1675904991
202,Pisco,-13.7,-76.2167,296.18,83,0,9.26,PE,1675904842
203,Ulladulla,-35.35,150.4667,293.22,92,100,5.51,AU,1675904992
204,Ust-Kuyga,70.0167,135.6,223.47,100,92,2.18,RU,1675904993
205,Labuhan,-6.8844,112.2051,299.64,84,99,3.79,ID,1675904993
206,Sambava,-14.2667,50.1667,296.74,89,87,3.44,MG,1675904994
207,Santander,43.4647,-3.8044,280.07,87,0,1.54,ES,1675904994
208,Sinjar,36.3209,41.8754,274.22,86,37,1.21,IQ,1675904995
209,Coquimbo,-29.9533,-71.3436,291.0,88,0,3.09,CL,1675904996
210,Kavieng,-2.5744,150.7967,301.45,73,100,3.65,PG,1675904996
211,Aginskoye,51.1,114.53,251.14,100,99,0.56,RU,1675904997
212,Surt,31.2089,16.5887,286.78,42,0,11.04,LY,1675904997
213,Weare,43.0948,-71.7306,276.43,77,2,0.45,US,1675904998
214,Tabou,4.423,-7.3528,298.67,86,84,0.59,CI,1675904998
215,Mnogovershinnyy,53.9353,139.9242,244.7,79,30,1.61,RU,1675904999
216,Bilma,18.6853,12.9164,291.9,18,0,2.52,NE,1675905000
217,Katsuura,35.1333,140.3,280.28,46,100,6.09,JP,1675905000
218,Torbay,47.6666,-52.7314,272.91,94,100,7.72,CA,1675905001
219,Dingle,10.9995,122.6711,299.31,78,100,6.27,PH,1675905002
220,Mar Del Plata,-38.0023,-57.5575,294.87,87,0,3.09,AR,1675904729
221,Monterey,36.2505,-121.2516,286.99,54,6,2.24,US,1675904832
222,Kushiro,42.975,144.3747,268.52,56,88,6.04,JP,1675905004
223,Richards Bay,-28.783,32.0377,295.09,93,100,5.46,ZA,1675904884
224,Rawlins,41.7911,-107.2387,268.09,68,20,11.83,US,1675905006
225,Caravelas,-17.7125,-39.2481,298.39,79,12,3.51,BR,1675905002
226,Alice Springs,-23.7,133.8833,305.9,25,2,2.57,AU,1675905007
227,Asfi,32.2994,-9.2372,286.48,83,69,4.04,MA,1675905008
228,Mount Gambier,-37.8333,140.7667,297.11,40,0,2.29,AU,1675905009
229,Bang Pakong,13.543,100.9933,302.64,100,3,1.27,TH,1675905010
230,Husavik,66.0449,-17.3389,265.89,75,62,4.2,IS,1675905011
231,Sao Joao Da Barra,-21.6403,-41.0511,296.26,95,100,3.31,BR,1675905012
232,College,64.8569,-147.8028,260.14,81,75,0.0,US,1675905013
233,San Ignacio,17.1561,-89.0714,298.23,78,0,2.06,BZ,1675905013
234,Pitimbu,-7.4706,-34.8086,299.48,81,95,4.05,BR,1675905014
235,Bandarbeyla,9.4942,50.8122,296.99,78,54,5.35,SO,1675905014
236,Hualmay,-11.0964,-77.6139,296.1,82,21,4.05,PE,1675905015
237,Clarence Town,-32.5833,151.7833,299.79,72,100,1.45,AU,1675905016
238,Pyapon,16.2833,95.6833,291.49,50,34,2.7,MM,1675905017
239,Zyryanka,65.75,150.85,239.14,94,97,1.07,RU,1675905017
240,Whitehorse,60.7161,-135.0538,268.88,62,7,7.6,CA,1675904921
241,Galle,6.0367,80.217,296.91,87,100,1.6,LK,1675904732
242,Nisia Floresta,-6.0911,-35.2086,299.6,84,20,3.7,BR,1675904919
243,Boysun,38.2061,67.1986,276.32,86,100,0.52,UZ,1675905019
244,Leeton,-34.5667,146.4,303.09,43,8,3.05,AU,1675905020
245,Vila Velha,-20.3297,-40.2925,300.12,82,0,4.12,BR,1675904930
246,Tessalit,20.1986,1.0114,292.88,20,0,4.95,ML,1675905021
247,Ancud,-41.8697,-73.8203,288.05,96,11,2.64,CL,1675905021
248,Ocos,14.5094,-92.1933,300.25,73,0,4.66,GT,1675905022
249,Port Elizabeth,-33.918,25.5701,293.88,92,100,1.54,ZA,1675904726
250,Niquero,20.0431,-77.5828,298.75,70,89,3.85,CU,1675905024
251,Poum,-20.2333,164.0167,300.84,81,100,4.7,NC,1675905025
252,Cabra,37.4725,-4.4421,280.48,82,79,1.17,ES,1675905025
253,Marshall,34.3834,-86.3333,292.27,70,40,0.0,US,1675904983
254,Orcopampa,-15.2661,-72.3417,281.79,81,100,2.24,PE,1675905027
255,Viedma,-40.8135,-62.9967,292.78,57,100,4.15,AR,1675905028
256,Sitka,57.0531,-135.33,277.09,65,75,6.69,US,1675905029
257,Maumere,-8.6199,122.2111,300.06,79,100,1.41,ID,1675905030
258,Fenoarivo,-18.933,47.4354,291.19,100,75,3.09,MG,1675905031
259,Kodiak,57.79,-152.4072,273.88,25,0,0.0,US,1675905031
260,Barrow,71.2906,-156.7887,249.16,70,100,0.0,US,1675905033
261,Redmond,47.674,-122.1215,282.58,74,35,1.29,US,1675904953
262,Namibe,-15.1961,12.1522,294.33,73,100,3.45,AO,1675905034
263,Ekhabi,53.5102,142.9671,244.53,93,100,6.55,RU,1675905035
264,Margate,51.3813,1.3862,275.76,66,82,4.8,GB,1675905036
265,Abha,18.2164,42.5053,283.29,62,0,0.0,SA,1675905036
266,Saint-Georges,12.0564,-61.7485,297.94,80,64,6.25,GD,1675905037
267,Ous,60.9058,61.5186,265.33,88,100,2.96,RU,1675905037
268,Aasiaat,68.7098,-52.8699,247.18,81,79,4.47,GL,1675905038
269,Itarare,-24.1125,-49.3317,292.1,90,1,2.29,BR,1675905039
270,Talnakh,69.4865,88.3972,251.98,95,100,4.07,RU,1675905039
271,Nueva Gerona,21.8833,-82.8,298.26,73,0,5.42,CU,1675905040
272,Faya,18.3851,42.4509,283.44,59,6,1.57,SA,1675905040
273,Paamiut,61.994,-49.6678,270.93,91,100,12.91,GL,1675905041
274,Khuzhir,53.1939,107.3397,257.27,96,86,2.0,RU,1675905042
275,Hamilton,39.1834,-84.5333,283.7,86,100,3.09,US,1675905042
276,Chapais,49.7834,-74.8492,253.35,100,61,1.28,CA,1675905043
277,Naze,28.3667,129.4833,289.41,69,100,7.94,JP,1675905043
278,Deputatskiy,69.3,139.9,230.69,99,89,1.81,RU,1675905044
279,Riyadh,24.6877,46.7219,284.23,45,28,4.53,SA,1675905045
280,Saint-Esteve,42.7131,2.843,281.23,90,75,2.06,FR,1675905045
281,Centralia,46.7162,-122.9543,281.27,86,40,0.0,US,1675905046
282,Christchurch,-43.5333,172.6333,292.86,55,75,6.69,NZ,1675904519
